Model,MSE,RMSE
SimpleRNN (1-Day),384.6392759976362,19.612222617481073
LSTM (1-Day),394.67015631484674,19.866307062834974
LSTM (5-Day),1219.7699955245473,34.92520573346057
LSTM (10-Day),1971.5216196193896,44.40182000345695
SimpleRNN (5-Day),3684.7216292255234,60.70190795374988
"ARIMA (2,1,2)",6021.913217793229,77.60098722176947
SimpleRNN (10-Day),6839.489168604457,82.70120415450101
Holt-Winters,9760.432967862049,98.79490355206613
