Actual,RNN_Predicted,LSTM_Predicted,ARIMA_Predicted,HW_Predicted
283.76001,291.4543,277.9964,331.6843461296994,331.089182094234
291.720001,283.67767,278.4718,333.05797540976124,331.24837100534467
284.730011,291.55762,280.8968,333.69533231792803,331.40755991645534
291.820007,292.89996,282.55298,332.9915645486347,331.566748827566
296.73999,293.999,285.36035,331.6652969913606,331.7259377386767
291.130005,300.04242,288.94324,331.0259188365653,331.88512664978737
319.5,298.1509,291.3273,331.681418972777,332.04431556089804
316.089996,309.40704,298.16754,332.9613816668827,332.20350447200866
317.660004,304.9851,304.40253,333.60157504150595,332.36269338311934
332.100006,323.16724,310.25314,332.9921042791185,332.52188229423
342.769989,330.1326,317.684,331.7573852995146,332.6810712053407
344.779999,339.91968,326.15024,331.1175008459666,332.84026011645136
357.720001,343.78482,333.96805,331.68310277747094,332.99944902756204
358.170013,359.18607,342.75198,332.8736414141939,333.1586379386727
370.829987,351.2625,350.25107,333.51217091462166,333.3178268497834
352.549988,372.88785,358.42078,332.98835322690525,333.47701576089406
362.220001,363.2022,361.7232,331.8409312656772,333.63620467200474
347.51001,374.75687,364.7963,331.20472828817503,333.7953935831154
333.630005,355.04828,363.73996,331.68877212900514,333.9545824942261
333.01001,351.2079,358.79755,332.7941395832304,334.11377140533676
342.0,333.87302,352.75433,333.4271154111237,334.27296031644744
344.5,340.0287,348.19867,332.98090744294103,334.4321492275581
349.929993,337.45215,344.79514,331.91653549440286,334.5913381386688
342.950012,345.9345,343.33243,331.2876198942279,334.7505270497794
335.070007,350.72617,341.61618,331.69785930767085,334.9097159608901
310.859985,341.00693,339.09924,332.72229003681434,335.06890487200076
309.160004,343.14984,332.57974,333.3463766068219,335.22809378311143
308.899994,328.58163,325.74313,332.970307324273,335.3872826942221
318.51001,320.34747,319.3887,331.9847696763975,335.5464716053328
322.470001,321.08478,315.75122,331.3662198175628,335.70566051644346
318.959991,317.85907,314.24307,331.70985025454814,335.86484942755413
316.709991,311.321,313.4235,332.6575354871523,336.0240383386648
318.869995,324.42487,313.0616,333.26989903680186,336.1832272497755
310.100006,311.95328,313.6091,332.9570415522041,336.34241616088616
